Title,Conference,Type,Application,MLTech,OpenReviewLink
BuckTales: A multi-UAV dataset for multi-object tracking and re-identification of wild antelopes,NeurIPS_2024,Poster,Biology,,https://openreview.net/forum?id=hgl4dYE76J
Building Timeseries Dataset: Empowering Large-Scale Building Analytics,NeurIPS_2024,Poster,Earth_climate,,https://openreview.net/forum?id=6cCFK69vJI
Boosting Generalization in Parametric PDE Neural Solvers through Adaptive Conditioning,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=GuY0zB2xVU
BrainBits: How Much of the Brain are Generative Reconstruction Methods Using?,NeurIPS_2024,Poster,Neuroscience,generative_model,https://openreview.net/forum?id=KAAUvi4kpb
Brain-JEPA: Brain Dynamics Foundation Model with Gradient Positioning and Spatiotemporal Masking,NeurIPS_2024,Poster,Neuroscience,foundation_model,https://openreview.net/forum?id=gtU2eLSAmO
Brain Treebank: Large-scale intracranial recordings from naturalistic language stimuli,NeurIPS_2024,Poster,Neuroscience,,https://openreview.net/forum?id=KZlJF8kguO
Causal Inference in the Closed-Loop: Marginal Structural Models for Sequential Excursion Effects,NeurIPS_2024,Poster,Neuroscience,causal_inference,https://openreview.net/forum?id=BgZcuEsYU8
CAT: Coordinating Anatomical-Textual Prompts for Multi-Organ and Tumor Segmentation,NeurIPS_2024,Poster,Medical_healthcare,transformer,https://openreview.net/forum?id=pnmUiVAGnv
Causal Deciphering and Inpainting in Spatio-Temporal Dynamics via Diffusion Model,NeurIPS_2024,Poster,Earth_climate,diffusion_model,https://openreview.net/forum?id=1ONdF1JHyJ
Cell ontology guided transcriptome foundation model,NeurIPS_2024,Poster,Biology,foundation_model,https://openreview.net/forum?id=aeYNVtTo7o
"ChaosBench: A Multi-Channel, Physics-Based Benchmark for Subseasonal-to-Seasonal Climate Prediction",NeurIPS_2024,Poster,Earth_climate,,https://openreview.net/forum?id=AE2yGHS7fK
CARE: a Benchmark Suite for the Classification and Retrieval of Enzymes,NeurIPS_2024,Poster,Biology,,https://openreview.net/forum?id=PFwlw9bnAr#discussion
CARES: A Comprehensive Benchmark of Trustworthiness in Medical Vision Language Models,NeurIPS_2024,Poster,Medical_healthcare,vision_language_model,https://openreview.net/forum?id=b6IBmU1uzw
Can LLMs Solve Molecule Puzzles? A Multimodal Benchmark for Molecular Structure Elucidation,NeurIPS_2024,Poster,Chemistry,large_language_model,https://openreview.net/forum?id=t1mAXb4Cop
